Reporting Year,2022,,,,,,,Report Generated:,2025-01-27,
Store,North,,,,,,,Count of Sales:,77,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
500,2022-12-31,4,0,5,ID010008,1479.6,0.15,1258,2022-02-25,1258
505,2022-12-25,10,3,1,ID010090,981.6,0.15,834,2022-03-21,830
529,2022-12-09,11,1,5,ID010011,1462.2,0.15,1243,2022-02-11,1243
533,2022-12-08,5,2,5,ID010032,995.4,0.15,846,2022-01-26,839
541,2022-12-04,4,1,1,ID010001,1479.6,0.1,1332,2022-01-19,1332
793,2022-11-23,12,3,5,ID010090,977.4,0,977,2022-01-23,972
553,2022-11-21,11,5,1,ID010096,1462.2,0.15,1243,2022-01-12,1243
597,2022-10-24,6,0,5,ID010065,995.2,-0.05,1045,2022-01-12,1037
833,2022-10-24,17,5,1,ID010008,487.4,0.1,439,2021-12-04,439
601,2022-10-16,16,4,1,ID010002,1485.3,-0.05,1560,2021-11-22,1543
617,2022-09-30,6,0,1,ID010027,995.2,0.1,896,2021-12-17,896
754,2022-09-27,5,4,1,ID010005,995.4,0.1,896,2021-10-23,895
506,2022-09-25,4,5,1,ID010074,1479.6,-0.05,1554,2021-11-20,1526
510,2022-09-21,2,0,5,ID010002,997.4,0.15,848,2021-11-24,838
522,2022-09-15,5,1,1,ID010032,995.4,0.15,846,2021-10-04,846
637,2022-09-13,5,3,1,ID010081,995.4,0,995,2021-11-17,983
641,2022-09-12,3,2,1,ID010041,495.9,0,496,2021-11-10,489
534,2022-09-08,2,4,1,ID010018,997.4,0,997,2021-11-01,975
657,2022-09-01,6,0,5,ID010080,995.2,-0.05,1045,2021-11-02,1031
941,2022-08-09,4,3,5,ID010100,1479.6,0.05,1406,2021-10-28,1377
586,2022-08-01,3,5,5,ID010045,495.9,0.1,446,2021-09-02,446
826,2022-08-01,1,1,1,ID010081,495.4,0.15,421,2021-10-15,414
705,2022-07-28,6,3,5,ID010036,995.2,0.05,945,2021-08-26,945
973,2022-07-19,6,1,5,ID010096,995.2,-0.05,1045,2021-09-26,1045
531,2022-07-11,14,3,1,ID010026,870.8,0.15,740,2021-08-31,740
610,2022-07-10,11,2,1,ID010025,1462.2,0.05,1389,2021-08-29,1381
854,2022-07-08,12,0,5,ID010009,977.4,0.1,880,2021-08-20,880
775,2022-07-02,4,1,5,ID010047,1479.6,0.05,1406,2021-08-17,1406
547,2022-06-30,2,4,5,ID010017,997.4,0,997,2021-09-28,997
508,2022-06-25,13,2,5,ID010085,1899.2,0.05,1804,2021-09-12,1760
516,2022-06-21,2,1,1,ID010017,997.4,0.15,848,2021-09-05,836
646,2022-06-11,5,0,1,ID010005,995.4,-0.05,1045,2021-09-06,1027
815,2022-06-08,9,1,5,ID010066,488.1,0,488,2021-07-15,488
587,2022-06-02,2,3,5,ID010033,997.4,0.15,848,2021-07-27,848
552,2022-05-29,4,1,1,ID010099,1479.6,0.05,1406,2021-07-04,1401
662,2022-05-28,14,4,5,ID010052,870.8,0.15,740,2021-08-26,733
674,2022-05-21,15,1,5,ID010064,494.5,0,495,2021-06-08,495
678,2022-05-18,14,0,5,ID010072,870.8,0,871,2021-07-28,871
690,2022-05-11,5,5,5,ID010075,995.4,-0.05,1045,2021-07-01,1045
615,2022-05-07,2,4,5,ID010023,997.4,0.05,948,2021-06-03,948
863,2022-05-03,6,0,5,ID010056,995.2,-0.05,1045,2021-07-30,1043
698,2022-05-02,3,5,1,ID010026,495.9,-0.05,521,2021-07-05,521
619,2022-05-01,5,2,1,ID010022,995.4,0,995,2021-07-29,995
706,2022-04-29,10,0,1,ID010093,981.6,0.1,883,2021-06-20,864
714,2022-04-24,17,2,5,ID010031,487.4,0.15,414,2021-05-12,414
836,2022-04-19,4,1,5,ID010008,1479.6,0,1480,2021-05-28,1460
635,2022-04-16,3,0,5,ID010042,495.9,0,496,2021-05-08,496
840,2022-04-16,1,4,1,ID010013,495.4,0.15,421,2021-07-15,421
616,2022-04-06,1,1,1,ID010008,495.4,0.05,471,2021-04-26,470
663,2022-03-29,15,5,1,ID010048,494.5,0.1,445,2021-05-24,445
915,2022-03-27,3,1,1,ID010040,495.9,0.05,471,2021-04-12,471
927,2022-03-22,6,4,5,ID010082,995.2,0.05,945,2021-06-17,945
679,2022-03-19,3,4,5,ID010091,495.9,0.1,446,2021-06-03,446
636,2022-03-17,6,4,5,ID010015,995.2,0.15,846,2021-04-18,846
691,2022-03-12,5,3,1,ID010066,995.4,-0.05,1045,2021-03-27,1045
660,2022-03-03,1,3,1,ID010079,495.4,-0.05,520,2021-03-31,520
707,2022-02-28,2,2,1,ID010082,997.4,0.1,898,2021-03-27,898
676,2022-02-17,10,0,1,ID010088,981.6,0,982,2021-03-06,982
979,2022-02-15,15,0,5,ID010068,494.5,0.15,420,2021-03-28,420
688,2022-02-11,4,5,1,ID010018,1479.6,0,1480,2021-03-20,1480
696,2022-02-02,6,4,5,ID010025,995.2,-0.05,1045,2021-04-07,1045
964,2022-01-30,2,3,1,ID010051,997.4,0.1,898,2021-04-20,898
712,2022-01-26,3,3,5,ID010064,495.9,0.15,422,2021-02-25,422
736,2022-01-09,6,2,1,ID010014,995.2,0.1,896,2021-03-07,896
740,2022-01-07,14,1,1,ID010069,870.8,0.05,827,2021-02-15,827
817,2022-11-03,14,5,1,ID010040,870.8,0,871,2022-01-03,871
763,2022-07-21,10,4,1,ID010065,981.6,0,982,2021-08-31,982
867,2022-04-29,8,1,5,ID010069,1838.4,0.15,1563,2021-06-15,1563
844,2022-04-14,17,1,5,ID010040,487.4,0.05,463,2021-06-24,463
994,2022-04-05,9,4,5,ID010100,488.1,-0.05,513,2021-04-29,513
904,2022-03-05,16,4,5,ID010070,1485.3,0,1485,2021-05-06,1485
975,2022-02-17,1,5,1,ID010050,495.4,-0.05,520,2021-04-08,520
995,2022-02-02,1,3,5,ID010069,495.4,0.1,446,2021-02-27,446
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
