Reporting Year,2024,,,,,,,Report Generated:,2025-01-27,
Store,West,,,,,,,Count of Sales:,78,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
17,2024-12-12,5,3,6,ID010048,995.4,0.15,846,2024-02-26,654
277,2024-12-09,4,3,6,ID010033,1479.6,-0.05,1554,2024-02-18,1554
21,2024-12-08,2,2,6,ID010089,997.4,-0.05,1047,2024-01-04,805
29,2024-11-29,6,5,7,ID010055,995.2,0,995,2023-12-16,995
61,2024-11-11,1,3,7,ID010016,495.4,0.05,471,2023-12-04,436
321,2024-11-02,2,1,6,ID010022,997.4,0.1,898,2023-11-20,888
77,2024-10-30,6,1,6,ID010058,995.2,0.1,896,2023-12-13,647
105,2024-10-11,10,2,7,ID010088,981.6,0.15,834,2024-01-07,686
145,2024-09-21,1,0,7,ID010028,495.4,0.05,471,2023-12-11,453
10,2024-09-20,5,2,6,ID010043,995.4,-0.05,1045,2023-11-15,820
161,2024-09-03,13,1,6,ID010026,1899.2,0.05,1804,2023-10-12,1804
294,2024-09-01,5,4,7,ID010037,995.4,0.15,846,2023-09-17,846
413,2024-09-01,3,3,7,ID010058,495.9,0.1,446,2023-11-02,343
169,2024-08-26,6,3,6,ID010021,995.2,0.1,896,2023-10-27,896
42,2024-08-25,15,1,6,ID010006,494.5,0.05,470,2023-09-25,370
177,2024-08-21,5,0,6,ID010070,995.4,0,995,2023-09-09,926
558,2024-08-18,3,5,7,ID010036,495.9,0.05,471,2023-09-23,471
181,2024-08-12,2,3,7,ID010063,997.4,0.1,898,2023-10-05,898
193,2024-08-04,5,1,6,ID010026,995.4,0.1,896,2023-11-06,741
86,2024-07-27,8,4,7,ID010056,1838.4,0.05,1746,2023-10-17,1746
507,2024-07-26,17,3,6,ID010097,487.4,0,487,2023-10-08,381
7,2024-07-25,4,0,7,ID010040,1479.6,0.05,1406,2023-09-30,1406
267,2024-07-20,16,0,7,ID010001,1485.3,0.05,1411,2023-09-03,1411
519,2024-07-16,16,4,7,ID010073,1485.3,-0.05,1560,2023-10-01,1560
102,2024-07-13,6,5,7,ID010050,995.2,0,995,2023-08-04,718
606,2024-07-12,4,2,6,ID010026,1479.6,0.1,1332,2023-09-22,1332
110,2024-07-10,6,2,6,ID010065,995.2,0.05,945,2023-07-31,945
539,2024-07-07,5,4,6,ID010060,995.4,0,995,2023-08-04,977
493,2024-07-04,4,5,6,ID010034,1479.6,0.05,1406,2023-08-05,1406
126,2024-07-03,4,1,7,ID010066,1479.6,0.15,1258,2023-08-29,1258
130,2024-07-01,2,4,6,ID010099,997.4,0.05,948,2023-08-31,948
43,2024-06-26,1,2,7,ID010021,495.4,0.05,471,2023-08-11,471
138,2024-06-26,4,2,7,ID010024,1479.6,0,1480,2023-07-17,1480
256,2024-06-24,1,4,7,ID010040,495.4,0,495,2023-09-07,381
555,2024-06-22,5,0,6,ID010059,995.4,0.05,946,2023-09-22,864
630,2024-06-18,6,3,7,ID010034,995.2,0.05,945,2023-08-15,660
150,2024-06-17,5,0,7,ID010019,995.4,0.1,896,2023-08-31,884
398,2024-06-16,1,1,6,ID010016,495.4,0.05,471,2023-07-12,465
571,2024-06-10,6,4,6,ID010029,995.2,0.05,945,2023-07-25,906
288,2024-06-08,17,0,6,ID010005,487.4,0.05,463,2023-09-10,403
410,2024-06-04,1,1,7,ID010054,495.4,0.15,421,2023-07-16,303
166,2024-05-31,2,0,6,ID010089,997.4,0,997,2023-08-21,977
40,2024-05-28,4,3,6,ID010083,1479.6,0,1480,2023-08-25,1211
48,2024-05-25,6,2,7,ID010022,995.2,0,995,2023-08-17,995
174,2024-05-24,4,4,7,ID010031,1479.6,-0.05,1554,2023-08-05,1554
52,2024-05-23,1,5,7,ID010081,495.4,0.15,421,2023-07-27,389
351,2024-05-16,6,1,7,ID010066,995.2,-0.05,1045,2023-07-12,965
607,2024-05-13,2,2,7,ID010009,997.4,0.05,948,2023-06-29,948
111,2024-05-10,10,0,6,ID010010,981.6,0.15,834,2023-07-18,806
611,2024-05-10,9,1,6,ID010044,488.1,0,488,2023-08-01,337
580,2024-05-05,9,3,6,ID010079,488.1,-0.05,513,2023-07-28,439
72,2024-05-04,1,1,6,ID010075,495.4,0.1,446,2023-06-06,446
76,2024-05-04,14,5,6,ID010085,870.8,0,871,2023-06-22,699
127,2024-05-04,1,4,6,ID010057,495.4,0.1,446,2023-07-01,446
143,2024-04-26,1,3,6,ID010015,495.4,0,495,2023-07-26,488
92,2024-04-20,4,5,6,ID010021,1479.6,0.1,1332,2023-07-09,1332
222,2024-04-19,6,4,6,ID010046,995.2,0.15,846,2023-06-04,846
151,2024-04-17,4,3,6,ID010025,1479.6,0,1480,2023-07-16,1480
112,2024-04-09,12,4,7,ID010055,977.4,0.05,929,2023-05-02,892
899,2024-04-07,5,4,6,ID010043,995.4,0.1,896,2023-07-08,896
124,2024-04-06,10,5,6,ID010069,981.6,0.05,933,2023-06-12,933
242,2024-04-03,17,4,6,ID010065,487.4,0.05,463,2023-05-27,328
167,2024-04-01,3,4,6,ID010057,495.9,0.1,446,2023-04-19,402
160,2024-03-10,6,2,7,ID010098,995.2,-0.05,1045,2023-06-12,469
164,2024-03-05,19,1,7,ID010087,1862,-0.05,1955,2023-04-25,1692
195,2024-03-05,6,3,7,ID010066,995.2,-0.05,1045,2023-05-09,1045
199,2024-03-02,7,1,7,ID010015,495,0.05,470,2023-05-11,470
203,2024-02-29,6,3,7,ID010066,995.2,-0.05,1045,2023-04-21,980
424,2024-02-25,2,0,7,ID010037,997.4,-0.05,1047,2023-04-20,1047
176,2024-02-24,10,1,7,ID010024,981.6,-0.05,1031,2023-05-22,285
223,2024-02-19,16,2,6,ID010072,1485.3,-0.05,1560,2023-03-11,1560
208,2024-01-28,6,1,7,ID010065,995.2,0.1,896,2023-04-22,896
464,2024-01-25,5,1,7,ID010099,995.4,0.1,896,2023-03-28,886
232,2024-01-11,6,2,6,ID010019,995.2,0.15,846,2023-01-26,173
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
