Reporting Year,2021,,,,,,,Report Generated:,2025-01-27,
Store,West,,,,,,,Count of Sales:,54,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
781,2021-11-26,6,3,6,ID010003,995.2,-0.05,1045,2021-02-06,1045
785,2021-11-25,3,5,6,ID010086,495.9,0.1,446,2021-02-16,446
869,2021-09-23,1,0,6,ID010035,495.4,0.15,421,2020-12-01,421
889,2021-09-09,1,1,6,ID010012,495.4,-0.05,520,2020-12-04,520
786,2021-08-27,12,0,7,ID010050,977.4,0.15,831,2020-09-21,831
790,2021-08-26,14,4,7,ID010046,870.8,0.1,784,2020-11-29,784
917,2021-08-23,3,3,6,ID010025,495.9,0.1,446,2020-10-05,446
933,2021-08-16,8,3,7,ID010027,1838.4,0.1,1655,2020-11-10,1655
802,2021-08-15,1,0,6,ID010095,495.4,0.05,471,2020-10-14,471
945,2021-08-08,6,3,6,ID010055,995.2,0,995,2020-09-17,995
814,2021-08-07,3,4,6,ID010082,495.9,0.1,446,2020-09-10,446
818,2021-08-05,10,4,7,ID010095,981.6,0.05,933,2020-11-02,933
961,2021-08-01,10,1,6,ID010087,981.6,-0.05,1031,2020-10-04,1031
965,2021-07-28,12,2,7,ID010054,977.4,0.1,880,2020-10-19,880
969,2021-07-24,1,2,7,ID010037,495.4,-0.05,520,2020-09-16,520
977,2021-07-15,2,1,6,ID010015,997.4,0.15,848,2020-09-07,848
850,2021-07-11,5,4,6,ID010004,995.4,0.05,946,2020-09-02,946
997,2021-07-01,5,2,7,ID010001,995.4,-0.05,1045,2020-09-07,1045
779,2021-06-30,6,4,7,ID010063,995.2,-0.05,1045,2020-08-31,1045
874,2021-06-21,12,1,6,ID010092,977.4,0,977,2020-07-06,977
803,2021-06-16,7,4,7,ID010098,495,0.1,446,2020-07-18,446
882,2021-06-16,10,1,7,ID010077,981.6,0,982,2020-08-02,982
807,2021-06-15,1,1,7,ID010100,495.4,0.05,471,2020-07-09,471
768,2021-06-12,1,1,6,ID010023,495.4,-0.05,520,2020-09-12,520
894,2021-06-10,2,3,6,ID010006,997.4,0,997,2020-07-08,997
898,2021-06-07,6,4,7,ID010081,995.2,-0.05,1045,2020-06-22,1045
914,2021-05-27,4,4,6,ID010061,1479.6,-0.05,1554,2020-07-25,1554
918,2021-05-24,6,5,7,ID010052,995.2,0.15,846,2020-08-18,846
938,2021-05-15,17,2,6,ID010075,487.4,0.1,439,2020-07-26,439
946,2021-05-10,2,3,7,ID010056,997.4,-0.05,1047,2020-06-13,1047
958,2021-05-06,10,0,6,ID010021,981.6,0.15,834,2020-06-04,834
832,2021-04-29,4,2,7,ID010064,1479.6,0.1,1332,2020-05-31,1332
871,2021-04-24,4,5,6,ID010016,1479.6,0.05,1406,2020-07-22,1406
982,2021-04-14,2,2,6,ID010092,997.4,0.05,948,2020-06-19,948
876,2021-03-22,17,2,7,ID010033,487.4,0.15,414,2020-06-14,414
931,2021-03-20,10,4,6,ID010054,981.6,0.05,933,2020-04-25,933
943,2021-03-11,4,5,7,ID010069,1479.6,0.05,1406,2020-05-06,1406
947,2021-03-10,6,4,6,ID010061,995.2,0.05,945,2020-06-10,945
900,2021-03-09,4,2,7,ID010016,1479.6,0,1480,2020-04-19,1480
951,2021-03-09,8,5,7,ID010083,1838.4,0.1,1655,2020-03-28,1655
959,2021-03-05,2,3,7,ID010039,997.4,0.05,948,2020-03-23,948
908,2021-03-02,1,2,7,ID010092,495.4,0,495,2020-06-05,495
967,2021-02-26,17,4,7,ID010061,487.4,0.05,463,2020-04-11,463
924,2021-02-21,2,3,6,ID010091,997.4,0,997,2020-05-11,997
936,2021-02-15,1,2,7,ID010018,495.4,0,495,2020-04-06,495
944,2021-02-09,10,1,7,ID010093,981.6,0.05,933,2020-05-07,933
956,2021-02-05,19,2,6,ID010005,1862,0.15,1583,2020-03-27,1583
976,2021-01-18,1,0,6,ID010085,495.4,0.05,471,2020-03-29,471
996,2021-01-02,6,5,6,ID010007,995.2,0.1,896,2020-03-04,896
1000,2021-01-01,18,5,7,ID010099,902.4,-0.05,948,2020-03-10,948
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<End of Report>,,,,,,,,,,
