Reporting Year,2024,,,,,,,Report Generated:,2025-01-27,
Store,East,,,,,,,Count of Sales:,71,
,,,,,,,,,,
,,,,,,,,,,
Order Num,Date,Item,Add ons,Salesperson,Customer ID,Base Price,Adj Price,Amt Invoiced,Last Pmt,Amt Pd
265,2024-12-18,4,4,4,ID010013,1479.6,0.1,1332,2024-03-02,1011
37,2024-11-27,7,4,8,ID010079,495,0.15,421,2024-02-28,421
49,2024-11-21,6,2,4,ID010042,995.2,0,995,2023-12-14,995
73,2024-10-31,9,4,4,ID010081,488.1,-0.05,513,2023-12-06,466
585,2024-10-29,3,3,8,ID010036,495.9,0.15,422,2023-12-15,422
109,2024-10-08,4,3,4,ID010003,1479.6,0.05,1406,2023-12-30,1406
373,2024-10-01,5,3,4,ID010054,995.4,0.15,846,2023-10-17,846
129,2024-09-29,5,4,4,ID010066,995.4,-0.05,1045,2023-12-13,1045
133,2024-09-27,2,0,4,ID010037,997.4,0.05,948,2023-12-27,948
2,2024-09-26,11,4,4,ID010067,1462.2,0.05,1389,2023-10-30,1036
262,2024-09-20,10,5,8,ID010090,981.6,0.05,933,2023-10-15,766
526,2024-09-12,5,0,8,ID010003,995.4,0.15,846,2023-12-14,830
157,2024-09-10,8,0,4,ID010065,1838.4,0.05,1746,2023-12-15,1746
286,2024-09-07,1,3,4,ID010064,495.4,0.15,421,2023-10-03,379
165,2024-08-30,10,5,8,ID010034,981.6,0,982,2023-11-20,718
34,2024-08-29,2,0,8,ID010081,997.4,0.15,848,2023-09-15,848
46,2024-08-24,2,4,4,ID010029,997.4,0,997,2023-10-23,997
173,2024-08-23,2,5,8,ID010099,997.4,0,997,2023-10-03,997
58,2024-08-15,10,2,8,ID010087,981.6,0.1,883,2023-10-10,883
62,2024-08-11,3,0,8,ID010025,495.9,0,496,2023-09-02,496
70,2024-08-04,3,2,4,ID010054,495.9,0.1,446,2023-09-05,446
78,2024-08-01,9,2,8,ID010095,488.1,-0.05,513,2023-09-25,365
205,2024-07-28,16,4,8,ID010077,1485.3,0.15,1263,2023-08-31,971
217,2024-07-21,4,1,4,ID010030,1479.6,-0.05,1554,2023-08-17,1458
23,2024-07-09,6,3,4,ID010074,995.2,-0.05,1045,2023-08-08,1045
114,2024-07-07,2,1,8,ID010074,997.4,0.05,948,2023-08-21,917
370,2024-07-03,15,2,8,ID010026,494.5,0.05,470,2023-10-06,470
241,2024-07-02,10,3,8,ID010082,981.6,0.15,834,2023-09-01,700
378,2024-06-28,1,4,8,ID010011,495.4,0.15,421,2023-07-28,421
142,2024-06-26,2,4,4,ID010052,997.4,0.15,848,2023-09-09,636
71,2024-06-04,2,3,8,ID010002,997.4,0.1,898,2023-09-02,677
300,2024-06-01,2,1,8,ID010060,997.4,0.1,898,2023-07-20,737
36,2024-05-31,14,0,8,ID010006,870.8,0.05,827,2023-08-11,827
83,2024-05-29,4,1,4,ID010071,1479.6,-0.05,1554,2023-08-23,1118
170,2024-05-27,3,1,8,ID010039,495.9,0.15,422,2023-07-20,422
87,2024-05-26,2,4,8,ID010057,997.4,0.15,848,2023-07-02,759
91,2024-05-22,11,0,4,ID010037,1462.2,-0.05,1535,2023-08-16,1301
178,2024-05-20,6,5,4,ID010061,995.2,0.15,846,2023-08-22,639
56,2024-05-18,14,1,8,ID010009,870.8,0,871,2023-07-26,812
95,2024-05-18,1,4,8,ID010026,495.4,0.15,421,2023-07-12,387
119,2024-05-07,3,2,8,ID010067,495.9,0,496,2023-07-24,380
367,2024-05-06,1,1,8,ID010010,495.4,0,495,2023-06-22,478
458,2024-05-03,4,5,8,ID010074,1479.6,0.15,1258,2023-07-10,1258
131,2024-05-02,6,2,4,ID010033,995.2,0.1,896,2023-07-21,896
135,2024-04-29,8,5,8,ID010066,1838.4,-0.05,1930,2023-06-04,1930
206,2024-04-28,4,4,8,ID010024,1479.6,0.15,1258,2023-05-30,1114
379,2024-04-28,6,3,4,ID010054,995.2,0,995,2023-06-16,822
210,2024-04-27,10,4,8,ID010010,981.6,0.1,883,2023-07-27,875
214,2024-04-24,3,1,8,ID010056,495.9,0.15,422,2023-07-13,422
466,2024-04-23,10,2,4,ID010038,981.6,0.15,834,2023-05-27,834
147,2024-04-22,4,1,8,ID010032,1479.6,0.1,1332,2023-05-20,1332
395,2024-04-20,2,3,4,ID010025,997.4,0.05,948,2023-05-12,871
226,2024-04-16,5,5,8,ID010005,995.4,0.05,946,2023-07-08,847
155,2024-04-15,15,3,4,ID010024,494.5,0.15,420,2023-07-19,420
490,2024-04-07,3,5,4,ID010044,495.9,0.1,446,2023-06-01,446
136,2024-03-30,5,0,8,ID010053,995.4,0,995,2023-04-19,995
419,2024-03-27,4,4,4,ID010071,1479.6,0.05,1406,2023-06-13,893
396,2024-03-19,2,0,8,ID010007,997.4,0.15,848,2023-06-17,848
179,2024-03-18,1,2,4,ID010016,495.4,-0.05,520,2023-06-14,520
699,2024-03-02,3,3,4,ID010005,495.9,0.05,471,2023-04-26,471
168,2024-03-01,1,4,4,ID010089,495.4,0,495,2023-05-24,477
207,2024-02-27,16,3,4,ID010062,1485.3,0.15,1263,2023-05-25,1263
723,2024-02-19,4,0,8,ID010094,1479.6,0.15,1258,2023-05-22,841
196,2024-02-03,10,0,4,ID010026,981.6,0.15,834,2023-03-22,834
220,2024-01-20,2,1,4,ID010083,997.4,0.1,898,2023-04-17,898
224,2024-01-19,1,3,4,ID010060,495.4,-0.05,520,2023-02-19,520
